,emotion,content,updated_content
8917,hate,I really hate revision,hate revis
8966,hate,@simplyvanessa why you never answer me..  wath i say to you,answer with
8970,hate,Aww.. I lost 3 followers.  FOLLOW ME !,www lost follow follow
8990,hate,"bah, i h8 waking up",bah h wake
8993,hate,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",bath scienc strongest thinkdunno bout geographi like day studi / year work
8999,hate,I always want to be perfect. Thatï¿½s so hard cause I even know that itï¿½s impossible. ...,want perfect hard caus know imposs
9014,hate,@thecultureofme don't feel too bad i just had a burrito from there and it kinda sucked.,dont feel bad burri kind suck
9040,hate,I just told the people that matters the most to me to just leave me alone... I fucked up again.,told peopl matter leav tuck
9051,hate,how to get rid of your followers step 1: announce that you're unfollowing people who give you the shits... everyone assumes you mean THEM,rid follow step : announc your follow peopl ship assum mean
9064,hate,"**i hate my hair hiss tee, I feel like I shuld hang out in the ghetto wid dis style",**i hate hair hiss the feel like should hang hetti wid di style
9077,hate,i don't wanna go back to school on monday,dont anna school monday
9123,hate,@tayl0rmichael i know. But you messed up silly,know miss silli
9147,hate,They are unloading a Leopard Tank just next to my office window. Hope I didn't piss off anyone,unload leopard tank offic window hope didn pas
9152,hate,Bluedart takes a shipment all the way before figuring out &quot;No Deliver&quot; and then bring it back! Databases anyone?,bluedart take shipment way fire quota deliverquot bring databas
9169,hate,OMG The LG KC910 touchscreen fone is such a pile of shite!! Roll on new contract in 18 months,org ll c touchscreen one pile white roll new contract month
9283,hate,"@calvinharris make the most of pork products while you can, they've fucking stopped importing it here in dubai. bad times",pork product they fuck stop import cuba bad time
9291,hate,@toin9898 Wow.. that really sucks!,now suck
9392,hate,@backpackerinoz I don't like fishfingers. I don't like fish or seafood really. But enjoy it,dont like fishfing dont like fish seafood enjoy
9404,hate,Wow seems like a lifetime since I been in here........never change to talktalk! Home phone n broadband not been workin 4 ova a week now,now like lifetim herenev chang talktalk home phone n broadband work oval week
9431,hate,@shemeika of course you'd be going there when I'm not there!,cours you go in
9455,hate,; keeps getting such delayed responses. why is my internet so messed up?!,keep get delay respons internet miss
9476,hate,@kmrasmussen nah. How it sucks to wear a suit and how the temp goes up 10 degrees when someone sits next to you,ah suck wear suit hemp goe degre sit
9489,hate,"@dmolsen Gain an instant follower, just use the #tits tag in a tweet. WTF? Lesson learned, Summer of Todd to get a new *official* tag.",gain instant follow use #it tag sweet utf lesson learn summer told new *official* tag
9595,hate,"@taylorswift13 Hello, yourself. Enjoy London. Watch out for the Hackneys. They're mental.",hello enjoy london watch lackey there mental
9598,hate,"When youre kawawa, you make me kawawa cuz i hate seeing you so kawawa's  ohhhhh &lt;3",your kalaw kalaw cut hate see kawawa ohhhhh it
9642,hate,So much for running outside like I thought I was going to  looks like the treadmill will have to do for today....thanks a lot rain,run outsid like thought go look like treadmil todaythank lot rain
9723,hate,unemployment office sucks,unemploy offic suck
9757,hate,@MsPrincessLala @AshleyNicole305  someone is ignoring me  &amp; being mean..,ignor amp mean
9829,hate,don't you hate it when you finish all your work and there's still 1.25 hours left of work time,dont hate finish work there hour left work time
9837,hate,Fuck the day flies when u got 3647 things to do and only 8 hours to do it in!!,fuck day fli u got thing hour
9844,hate,"@fergmaster Sons of bitches, why couldn't they put them on the releases we already bought",son birch couldn releas bought
9881,hate,In children's hospital ER hoping Meredith does NOT have a broken elbow/arm,child hospit er hope meredith broken elbow/arm
9896,hate,"@jojototh @abduzeedo firefox ok, but opera and IE - footer is not ok",firefox ok opera in foster ok
9928,hate,Fuckin padtron  con sheila.neil.gio.dex.wongo.poncho.bebo.ant.lulu&amp;therest of the niggasz,fuck patron con sheilaneilgiodexwongoponchobeboantluluamptherest niggasz
9970,hate,"@anniething1 *reads phone book* Hugh Clancy, Hugh Claments...Nope, no Hugh Clap.  Poor Holly, though she'll grab pity votes like a shark.",*read phone book* hugh chanc hugh clamentsnop hugh cap poor holli shell grab piti vote like sharp
10034,hate,@gprado Awww I HATE that one!!,www hate
10035,hate,Another Day gone by....  Have to wake up early again tomorrow,day gone wake earli tomorrow
10040,hate,"@626aicitroM Yeah, yeah. Less #degenerate than current occupants of U.S. House of Reprehensibles. You can bet on that. Like MineThatBird.",yeah yeah #degener current occup hous reprehens bet like minethatbird
10082,hate,i don't know !!,dont know
10155,hate,"@stevecruzblog  It is so unfair, Hustlaball, US citizens working here, Personal Appearances Expectations, Prowler, can I do that there?",unfair hustlabal citizen work person appear expect power
10156,hate,@velvetella Hey! Polka dots or black dress. Both very glam. Mobile twitter's a bit crap at the mo.,hey polk dot black dress glad mobil twitter bit cap mo
10209,hate,Knew she was an idiot..,knew idiot
10218,hate,"is somewhat irritated by people coming up to me and asking if I'm so and so from TV, or that I look familiar. I thought I was original.",somewhat irrit peopl come ask in to look familiar thought origin
10221,hate,"this sucks i'm tweetless...and i f'n hate money, why does it have to be an issue",suck in tweetlessand fn hate money issu
10433,hate,@mcpactions bugger didn't know that  shame people have to stick there nose in!,bigger didn know shame peopl stick nose
10451,hate,"It's Monday, and I am still cleaning up the mess from Thursday night's storm.  Like I wasn't busy enough this week!",monday clean mess thursday night storm like want busi week
10467,hate,@CKHerm Glad you got to walk.  Finish the damn thesis.,glad got walk finish damn thesi
10483,hate,Wish my headache/almost migraine would go away!,wish headache/almost migrat away
10506,hate,@thatdude356 someone hates me,rate
10549,hate,"i'm going to sleepies, feel poorlies and pissed off  night night tweeples xxx",in go sleep feel poorli pas night night templ xxx
10554,hate,Open office &quot;writer&quot; is weird. I need Word to open word documents correctly,open offic quotwriterquot weird need word open word document correctli
10556,hate,"@katecameron2002 Oh same here, can't believe they killed him off!  Hate Stringer now!",oh can believ kill hate stronger
10605,hate,I totally forgot thats its friday till I read @AlyssaNoelleD's tweet. Ha. I feel dumb  *Take A Breath*,total forgot that friday till read sweet ha feel dumb *take breath*
10653,hate,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",ahahah horribl sing in sure work wish afford drum set
10657,hate,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,liesliesliesy can avoid lie practicallyeveryth
10661,hate,im so not feelinq this huqe ass pimple smack in the middle of my doom. it aint riqht man,in feel huge as pimpl smack middl doom aunt right man
10670,hate,Tryin to figure all this out!! LOL,tri figur ll
10693,hate,@Rebekah_McFly LOL nah ! of course you'll get the DVD first since you've already ordered it. i'll sign up to Bebo on Tuesday then! lol  xx,ll ah cours you did you order ill sign bubo tuesday ll xx
10694,hate,i dont know why i follow sme of the ppl that i do... they e anoying and boring. * note to self -unfollow peeps on monday morning,dont know follow she pp e annoy bore * note self follow keep monday morn
10711,hate,@lozzy hahah I wish that was true. This is really really bad  just gonna stay home and chill tonight. And as usual I REALLY wanted to go.,ahahah wish true bad donna stay home chill tonight usual want
10724,hate,My day on the computer is about to end. Dang. I hate not being allowed on the computer.,day comput end sang hate allow comput
10727,hate,@dannyvan i could have got you some from work and not paid more than R20 per 2l,got work paid r l
10738,hate,"@michelleflores Michelle, I slept for 11 hours last night. I'm still stick with this fever.",mitchel slept hour night in stick fever
10740,hate,Worst day ever. And its only noon.,worst day noon
10747,hate,"@requin they really do need to mind their own business, eating disorders are NOT the only reason people have to vomit, assholes",need mind busi eat disord reason peopl vomit asshol
10820,hate,Watch movie must,watch movi
10838,hate,@whit3boy nah will didn't tell diego so we at some donminican spot getting fucked up,ah didn tell diego dominican spot get tuck
10852,hate,@johncmayer You know we dont believe half of what they say,know dont believ half
10854,hate,"Okay, so now I want to scream....Idk why this one doc has done this to me 3 days this week!!!!RRRRR.",okay want scream do day weekrrrrr
10912,hate,The new redesigned cricinfo : http://tinyurl.com/mxlcuv I hate change,new design cricinfo : http://tinyurlcom/mxlcuv hate chang
10936,hate,ummm. no it didnt work so i guess im stuck with this uglyonee,mmm didn work guess in stuck uglyone
11104,hate,@Jimmers31 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,u dirrrrrti oh pick hawk figur need longshot better bet car
11109,hate,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",hate bakersfield hate port let home want start vacat
11116,hate,it just thundered reallyreally loud at work and this little boy started crying  I wanted to cry too...I hate storms! wah,thunder reallyr loud work littl boy start cri want cri took hate storm wa
11144,hate,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs,rate net away bumuka no twitter http://plurkcom/p/wal
11151,hate,"damn another day at the office, the sun is bursting from the sky...and the women are eh well...back to the keyboard",damn day offic sun burst stand woman eh wellback keyboard
11167,hate,can't upload a picture. I already hate twitter,can unload pictur hate twitter
11224,hate,Just saw a male Baltimore oriole at our suet feeder and something enjoyed a lot of thistle from our new thistle feeder early this a.m.,saw male baltimor role set tender enjoy lot whistl new whistl tender earli
11226,hate,Just dropped my sistah off @ lax.    #fb,drop sister @ lax #ff
11243,hate,being surrounded by student houses having barbecues and playing shit music is hardly conducive to a good job-applying frame of mind,surround student hous barbecu play shit music hardli conduc good jobappli frame mind
11246,hate,@trvsbrkr it's not working here,work
11307,hate,": I saw US Postal was hiring, but once I was done filling out the pre-application thingy it didn't show me jobs open in the area.",: saw postal hire fill preapplic thing didn job open area
11325,hate,Sunglasses whores   http://twitpic.com/4wtzj,sunglass shore http://twitpiccom/wiz
11404,hate,Almost all are here now! Tomorrow at 8 we start! 291km's of mud  - http://mobypicture.com/?zx33t1,tomorrow start m mud http://mobypicturecom/txt
11431,hate,@caniszczyk Agreed! Though Eclipse apps hinder collecting the heap dump by catching OOME. Had to muck about in JConsole,agre ellips ape hinder collect heap dump catch some much consol
11449,hate,I hate the dentist,hate dentist
11472,hate,My car might have to be totaled,car total
11490,hate,@anz_rocks19  i have to break the twitterparty... im off home soon,break twitterparti in home soon
11516,hate,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,waraku tactless expens portion littl re: waraku
11566,hate,@tweetie Why do I have to enter my registration details every time I update?,enter registr detail time updat
11580,hate,It should be illegal for me to date,illeg date
11599,hate,Musem equaled FAIL!!!!! hall of fucking life was closed cause of construction,museum equal fail hall fuck life close caus construct
11614,hate,"gawww, why is facebook being so slow?",www facebook slow
11623,hate,Lol..2 people in falcon..and boo one of them being becca,ll peopl falconand too bench
11663,hate,#itsucks when everyone but the one i want to text me is texting me!,#suck want text test
11705,hate,"my zoids torrent crashed after 8 hours of downloading.  it was only 6% done at that time, because apparently i'm the only zoids fan ever.",word torrent crash hour download % time appar in word fan
11741,hate,@berkscub no sorry twitter sucks balls since the replys change  #fixreplies,sorri twitter suck ball repli chang #fixrepli
11773,hate,@johnataylor She should keep her crown and shut her mouth!   Then she'll know what non-judgmental means!,crown shut mouth shell know nonjudgment mean
11811,hate,#bgt What happened Greg.  That was a rubbish follow up.,#but happen grew rubbish follow
11833,hate,"@Sihm and the &quot;fuck  &quot; was because I dont get my gift!   I was SO exited about it, and it was sooo awesome...",quotfuck quit dont gift excit soon awesom
11839,hate,@chocoshabi I'm going to ask Waldi. I hope he makes a new keyword for me,in go ask waldo hope make new eyford
11874,hate,"@soviet_star Damn, that sucks",damn suck
12008,hate,@daisyamy me too i hate revision,hate revis
12027,hate,i know i was wrong. maybe i shouldnt did all of those fuckin things like that,know wrong mayb shouldn fuck thing like
12038,hate,@gnxmusic But I am with you... I hate doing it... can't we just make music and magically not have to worry about money  awe... sigh...LOL,hate can music magic worri money awe sighlol
12043,hate,"Boys are stupid, throw rocks at them",boy stupid throw rock
12054,hate,@iaingilmour I queue for cake standing up and with a slight look of deranged anticipation on my face.,queue cake stand slight look derang anticip face
12095,hate,"So hot today =_=  don't like it and i hate my new timetable, having such a bad week",hot today == dont like hate new timet bad week
12117,hate,@jlamshed You're sending tweets to yourself again!,your send sweet
12122,hate,I made this huge revelation as I was doing the dishes( that everyone left for me) and now I totally forgot it. I hate when that happens.,huge revel dishes( left me) total forgot hate happen
12194,hate,@tylerakira - ughhh!!! have to go back there tonight,ugh tonight
12238,hate,@Sissillie i honestly hope the theatre gets hit by a meteor before you get there,honestli hope theatr get hit method
12324,hate,i hate the bus...any donations toward my car fund?,hate busi donat car fund
12364,hate,I think I did okay on my Math Test today. I really really really hope I did. If I didn't I swear I will get SO mad at myslef.,think okay path test today hope didn swear mad myself
12421,hate,@anieszkaa haha i did a ltiitle bit yesterday and ive been out all day  so i think ima chick an allnighter  hahaha NOT COOL,hata littl bit yesterday give day think ma thick allnight havana cool
12451,hate,@toriigwyn i want chinese food really baaad.,want chine food bad
12479,hate,Just five more days. Five more long days. Ahh!,day long day ah
12517,hate,im writing an exam on a SATURDAY  that should be illegal  where's my weekend?,in write exam saturday illeg where weekend
12636,hate,Using a temporary mouse since my trackball is breaking down. I can feel the RSI crawling up my wrist already  .,temporari mous trackbal break feel roi crawl wrist
12654,hate,@Aubs my thoughts exactly re: leaving my 3 dogs. They al hate when they see the luggage come out,thought exactli re: leav dog al hate luggag come
12660,hate,We bought a pool instead of going to California. Now the pool is broken and we have wasted our vacation money for the next 2-3 years.,bought pool instead go california pool broken wast vacat money year
12669,hate,@AmberRainDesign many tribes r becoming extinct  I blame Mc Donalds!!!,tribe r extinct blame my donald
12682,hate,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.,charl power ll damn savemart lost power buy beer
12707,hate,@LouisPagan @Raul_Ramos Txs so much for #followfriday...i have been so MIA recently...work is killing me! Hope you r doing funtastic,txt #followfridayi ma recentlywork kill hope r fantast
12761,hate,"GAWD, I'm so tired still! I have to move out of here into my new place by 5:30 PM, cause I work.  So stressed! #FB",and in tire new place : pm caus work stress #ff
12779,hate,@TerrenceJ106 lets see.. we hate that groupies are damn near stalkers.. we love that they send gifts..,let hate group damn near talker love send gift
12807,hate,"@DavidArchie Good luck! If I remember right, everything in England is a rip off, anyway! And next time, write me back! Haha",good luck rememb right england rip time write hata
12838,hate,"Sitting in Mrs. Martins class, youtube is being stupid. and i REALLY want a popsicle!!! jealous of Sara",sit mr margin class coutur stupid want possibl jealou serum
12864,hate,@acepilot P.S. I hate your work schedule! I wish you could come play tonight,is hate work schedul wish come play tonight
12887,hate,@zanylikethat Awwwww.,awwwww
12925,hate,"OMG, Tony Hawk's motion on the nintendo DS sucks ass!",org toni hawk motion intend is suck as
12928,hate,Still hating the whole Twitter replies thing. I feel like I'm missing bits.  #fixreplies,hate twitter repli thing feel like in miss bit #fixrepli
12954,hate,"@thebookpolice actually, in Sweden the IKEA's do have rooms to stay the night. Not here though, I'll have to stay across the street.",actual sweden idea room stay night ill stay street
13055,hate,SON OF A BITCH!!!! ARGGGHHHHHHHHHHH SO OVER IT.,son bitch arggghhhhhhhhhhh
13081,hate,My new car is already giving me problems  That cant be a good sign.,new car give problem can good sign
13123,hate,@DirtyDizco Maaan if I was in pain I'd come. I wanna come  eat some 4 me lol *rolls eyes*,maman pain id come anna come eat ll *roll eyes*
13150,hate,I am so damn hungry it's not even funny!,damn hungri funni
13209,hate,Locked out of my fucking house!,lock fuck hous
13286,hate,@Carolina_G  ur a poopy head,or poppi head
13295,hate,Waiting in a long line at chick-fil-a,wait long line chickfila
13326,hate,@Hatz94 me too. I hate my computer so much..,hate comput
13329,hate,Weather sucks!!... It's raining again!!,weather suck rain
13358,hate,@amilliemills neva mind ya friend had called me jealous and i wanted to kno of what literally of what but its ova  is my tude now,neve mind a friend call jealou want no liter oval tube
13382,hate,"@HallamBritten I talked to Kat, that is crappy",talk at happi
13406,hate,My throat is on fire,throat fire
13408,hate,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?,stomach explod end tast good bad
13417,hate,@eboogiee smh Your whin with that comment,s when comment
13424,hate,i hate rain and people.,hate rain peopl
13428,hate,"sorry paul scheuring, but prison break series finale sucked... in so many levels",sorri paul secur prison break seri final suck level
13452,hate,Ugh! I can't access through my mobile web!,ugh can access mobil web
13455,hate,just finished playing mahjong. I lost $38 to Mag and Weisheng!,finish play mahjong lost $ may wish
13462,hate,@danipoynterjudd  its awful. Xxxx,aw xxxi
13465,hate,The weather is gross outside. It puts me in a bad mood.,weather gross outsid put bad mood
13473,hate,im tweeting... this is so hard... i dont get it...,in meet hard dont
13495,hate,LUCY IS HATING ON MY GWEG!,luci hate we
13496,hate,"@SeanyeWest the mind plugs work, but the patent got turned down b/c someone already thought of earplugs and benedryl",mind plug work patent got turn b/c thought earplug benedryl
13535,hate,Swolen as shitt  boo hoo,swollen shirt too how
13549,hate,@Djalfy I sound really Brummie lol but most of all I just hate looking at myself!,sound brumair ll hate look
13583,hate,@britblackbird  youstinkatrespondingtotexts!,youstinkatrespondingtotext
13601,hate,"Right, fuck the whole Twitter silence experiment. The last four days have been murder with the inability to mouth off",right fuck twitter silenc experi day murder inabl mouth
13602,hate,"@nikster07. i dont know whats worse, g's twittering or your muriel! (@jms_ is the worst anyway  )",dont know what wors is glitter murder ( worst )
13634,hate,"wakey wakey lemon shakeyyyy!  haha, goin' 2 schooliooo!  it's raining!! (ugh!) guess where I WISH I CAN BE RIGHT NOW....CaLiFoRNiA! ???",wake wake lemon shakeyyyi hata go schoolroom rain (ugh) guess wish right nowcalifornia
13679,hate,I want to get my braces removed sooo bad!!!!,want brace remov soon bad
13736,hate,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,think broke toe bar tonightthank drunk girl step
13775,hate,@anant24121986 it is so unfair that all the good rock shows happen only in B'lore and Pune,unfair good rock show happen bore pure
13806,hate,Working  god I hate it haha,work god hate hata
13809,hate,GIVE A HATER A Hug ? Why would you do that? I don't like mwean people,later hug dont like mean peopl
13825,hate,Ugh i hate photobucket! an amazing place to edit pictures is: www.picnik.com  i use it alll the time.,ugh hate photobucket amaz place edit pictur is: wwwpicnikcom use all time
13838,hate,"It's so annoying when I want to go see The Sats, @OfficialJoBros and @ddlovato in concert..but I know I'LL Have to pay",annoy want sat concertbut know ill pay
13868,hate,"1 of my most hated jobs. Clipping coupons &amp; going thru house, top 2 bottom &amp; making grocery list. Took forever &amp; now major shopping trip",hate job clip coupon amp go hous amp make grocer list took forev amp major shop trip
13874,hate,"sososo bummed, like really bummed, i hate this rain, ruin my date...",sososo sum like sum hate rain ruin date
13900,hate,"Grabbing a snack and a drink at chili's, but the power just went out. Before I got my food!",graft snack drink chill power went got food
13905,hate,"grr!  i hate being damn near forced to go places.  especially to sit on a bus for an entire day just to sit in a house in podunktown, va",grm hate damn near forc place especi sit bu entir day sit hous podunktown va
13987,hate,"@rorschachsgirl Yeah--those pants are horrible!  Yeah--my wife loves the job.  She loves performing and kids, so it's a good environment.",yeahthos part horribl yeah wife love job love perform kiss good environ
14012,hate,I need a blankie  this trains an icebox,need blain train icebox
14024,hate,"I work for a man that is so bad at his job that the whole team want to leave, and all believe we would make more money if he wasn't here",work man bad job team want leav believ money want
14058,hate,"damn fight night 4 demo won't load, keeps crashing at the first screen. time to delete and re download i think",damn fight night domo wont load keep crash screen time delet download think
14064,hate,"http://twitpic.com/4wsjr - Leisure Bay beach  (I see the pic. wasn't uploaded last time, grrr!)",http://twitpiccom/war leisur bay beach (i pick want unload time rrrr)
14068,hate,Hates headaches! Maybe I'm not ready to rock,rate headach mayb in readi rock
14153,hate,hut myself in the face with a hammer earlier by accident  obviously it hurts.,hut face hammer earlier accid obvious hurt
14155,hate,@bridgetmcmanus go into an anti-gravity chamber then you can tell gravity to suck it.,antigrav chamber tell graviti suck
14186,hate,They wouldn't reverse any of my overdraft fees.,wouldn revers overdraft fee
14188,hate,Just watched The Goode Family premiere online... And I think this may be the last episode I watch. It's pretty amazingly mediocre  pass.,watch good famili premier onlin think episod watch pretti amazingli mediocr pas
14189,hate,@MandyBookLover Hi  Yes wasn't she absolutely terrible! How on earth does she hear a good tune from her ears? Lol,hi ye want absolut terribl earth hear good tune ear ll
14200,hate,The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.,quotcatch cannot did rent blockbustercom yesterday crack figur minut movi
14226,hate,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,aarrgghh ff*ka those lean water new float floor
14261,hate,this week has been awful.,week aw
14288,hate,"Oh insomnia, I hate you. I'm bored of staring at my ceiling, cano go sleepnow please?",oh insomnia hate in bore stare ceil can sleepnow
14357,hate,Bored... Some vector shit... Off to work after this class..,bore vector shit work class
14477,hate,http://twitpic.com/4wtom - This day is soo stressful! Geee.. Lunch was a blast tho! How are you guys??,http://twitpiccom/whom day so distress gee lunch blast the gun
14525,hate,Just got to work  Today is going to be another long ass day!,got work today go long as day
14549,hate,"Just got a follow from @lindsey5054. Yep, it's spam. Damn twitter traffic machine.",got follow yep spasm damn twitter traffic machin
14562,hate,"Also I popped the phone open and got all that goddamn dust out, but I wore out a clip on the camera panel so I had to glue it shut",pop phone open got goddamn dust wore clip camera panel blue shut
14620,hate,just fought with my printer...after 2 hours i claim victory... i hate electronics,fought printeraft hour claim victori hate electron
14622,hate,"@prateekgupta I am just 'okay-okay' .. like the rest of the sane population in the world, I hate mondays",okayokay like rest sane popul world hate monday
14675,hate,"@lindentreephoto yeah, its super crap today   Stupid writing!  ugh",yeah super cap today stupid write ugh
14682,hate,@t0ns:  nou moe... stomme banken/crisis shit :S,not more some banker/crisi shit :s
14699,hate,@iaindodsworth Told you that when you got rid of the last one. Did you listen,told got rid listen
14731,hate,There are bugs attacking my laptop,bag attack lawton
14748,hate,I got dropped froma coupla ppl that were following me  Damn Detroit Fans!!!,got drop from coupl pp follow damn detroit fan
14808,hate,@dragonflyeyes nick's voice still makes me wanna kill things,neck voic make anna kill thing
14836,hate,have to return my sideways. fuck meds and bills.,return sideway fuck bed bill
14909,hate,is a bit tired. I blame the rain.  http://plurk.com/p/x2jc9,bit tire blame rain http://plurkcom/p/c
14910,hate,My moms Season 3 of Weeds got burnt up in a family friends mobile home.,moss season weed got burnt famili friend mobil home
14962,hate,@NikkiStixx @valentinamia omg you guys will know when I'm getting nasty!!  My head hurts,org gun know in get nasti head hurt
15000,hate,I'm so very tired...and have insomnia.,in ireland insomnia
15022,hate,@karriereKay being sunburnt is horrible,sunburnt horribl
15028,hate,I hate this weather  i wanna bake,hate weather anna bake
15142,hate,Cleaned out me Followers List and blocked the porn girls &amp; Crap Now I look like a spammer,clean follow list block worn girl amp cap look like summer
15145,hate,@TJmodeling That sucks majorly...hhhmmmnnn...I'm thinking...I would've said the self tanner or a really good concealer...I'm stuck,suck majorlyhhhmmmnnnim think would said self manner good concealerim stuck
15204,hate,feels so used I hate guys grrrr,feel hate gun rrrr
15311,hate,Dang! My voice wont came out! And my snots is covering all my tissues... DANGIT! I hate FLU!,sang voic wont came shot cover tissu danger hate fli
15318,hate,stuck in huge traffic jam,stuck huge traffic jam
15332,hate,"urgh, i really hate that medicine",urg hate medicin
15355,hate,a bedtime story pls....,bedtim stori pu
15364,hate,Literally had the worst dinner out ever tonite. So tired of mediocre food in the 'burbs. *sigh* At least we can get good ice cream,liter worst dinner tone tire mediocr food burn *sigh* good ice cream
15381,hate,is fed up of stupid bots adding me,fed stupid both ad
15403,hate,"just camee back from bowling, which i offiacial suck at",came bow offici suck
15495,hate,my hsbc savings apy dropped to 1.55%. sort of feeling like pulling out all my money and keeping it underneath my mattress.,sac save ani drop % sort feel like pull money keep underneath mattress
15524,hate,@theECA i think that violates my noncompete,think violat noncompet
15582,hate,@thehypercube - touched a real live Cube in Hamilton. Dealership closed - couldn't sit in it though,touch real live cure hamilton leadership close couldn sit
15629,hate,I hate when it's cloudy. I either want it to be all sunny or raining. It's cloudy,hate cloudi want sunni rain cloudi
15655,hate,@Epiphora I will never forgive you for burying the erotica. You're snuffing out our love.,forgiv buri exot your snuf love
15658,hate,"@Spidersamm ohh yeahh (: i'm probs gonna be a loner to start with, thanks to the person i was gonna go with be a bitch",oh yeah (: in probe donna longer start thank person donna bitch
15682,hate,Is sick to death of doing French prep. I feel like killing a bitch.  chgehcfncshvd,sick death french rep feel like kill bitch chgehcfncshvd
15771,hate,"If this rain doesnt go away, I'm staying in bed all week til Mommy gets here",rain doesn away in stay bed week til mummi get
15774,hate,i hate the biatches of this world,hate branch world
15821,hate,"Mobile phone check-in? Another fail! American's service came close, but crashed at the gate. I'm now 0 for 3.",mobil phone check fail american servic came close crash gate in
15826,hate,"Time to get ready for wrk! Ahhhh, I dnt wanna goooo!",time readi work ahahah dint anna good
15844,hate,"Jason Mraz is still serenading me, while I read &quot;Judicial Supervision of Executive Action in the Commonwealth Caribbean&quot;.  BBL!",jason may spread read quotjudici supervis execut action commonwealth caribbeanquot bal
15846,hate,http://twitpic.com/4jgro - me again,http://twitpiccom/go
15850,hate,@taylorswift13 jet lag must be soo annoyingg! im in uk timee  welcome to ukkkkk  are u coming to scotland at all  ? xxxx,jet law so annoy in up time welcom ukkkkk u come scotland xxxi
15882,hate,@SavingAmalthea that sucks,suck
15912,hate,i never knew a dentention was so hard 2 get,knew detent hard
16008,hate,"hopping in the shower,  @ricandhislife you can help me tidy my room  its a shit hole, mums fucking friends",hop shower help tidi room shit hole sum fuck friend
16030,hate,playing pet society,play pet societi
16037,hate,@_handz_ well you know those &quot;kind of guys&quot; are just idiots,know quot guysquot idiot
16081,hate,i hate history coursework sooo much,hate histori coursework soon
16090,hate,@Andy_Hawk @andy_sims works sucks without being able to stream KWOD,work suck abl stream two
16099,hate,"@gillian9 Aww, I had one yesterday, they suck",www yesterday suck
16110,hate,hates scaleeeee,rate scaleeee
16119,hate,"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;",time succeed code quotwer sorri credit card declin timequot
16172,hate,EVERYONE VOTE FOR MILEY CYRUS FOR THE MTV MOVIE AWARDS BECAUSE I CAN'T THAT DOE'T WORK AT ME I'M #FRUSTRADED :@,vote mile cyru mt movi award can doe work in #frustrat :@
16195,hate,@c0oki3 u think u have bills Ha!Ii just finished paying mine that's y I'm broke,u think u bill hair finish pay that in broke
16205,hate,Inspite of the spams.. I can't stop losing this twittergadget. I love twitting from Gmail,inspir spasm can stop lose twittergadget love twist email
16227,hate,The jetway feels like the seventh layer of hell. Oh and there are way too many babies on this flight. And I forgot my Bose.,betray feel like seventh layer hell oh way babi flight forgot bone
16244,hate,@FollowActive Oh so nooooowwww youre too busy for me...dam I see how it is! How long we known each other?!?!?,oh nooooowwww your busi madam long known
16254,hate,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,eh bah boooooooooooo funni anna work hanov suckkkkkk in drunk mess
16257,hate,@PirateTimmy hopefully it don't go that far  sometimes I feel like renouncing my roots,hope dont far feel like renounc root
16263,hate,"I am native, not french ! I hate this ! !  ! Trying to find animals in french, I SUCK, SOMEONE HELP PLEEEEEASE  ? Alone- Allison Iraheta ?",nativ french hate tri find anim french suck help pleeeeeas allison iraheta
16313,hate,@KeriLyn2980 Totally  plain and simple.. i hate all thoes bridezilla shows.. if i was the groom i'd be running far far away!,total plain simpl hate those bridezilla show groom id run far far away
16392,hate,"cold,so cold fuck!",cold cold fuck
16432,hate,my new dress looks sort of...horrible   http://twitpic.com/64mdc,new dress look sort horribl http://twitpiccom/md
16443,hate,@alexholroyd I'm just bustin' ya chops; it's not bad. Never seen any real appeal to last.fm is all. Bad quality audio from crap artists,in austin a crop bad seen real appeal last bad qualiti audit cap artist
16465,hate,"@frostedbetty Oh, I'm so sorry. I feel your pain. I can't kill them either, and I'm always the one that finds them. Why is that?",oh in sorri feel pain can kill in find
16471,hate,The new tecas driver license design is ugly,new texa driver licens design ugli
